id,address,docks_in_service,latitude,longitude,station_name,total_docks,num_trips_to,num_trips_from
2,Buckingham Fountain,26,41.876393,-87.620328,Buckingham Fountain,27,14590,15266
3,Shedd Aquarium,55,41.867225957,-87.61535539,Shedd Aquarium,55,29958,31797
4,Burnham Harbor,23,41.856268,-87.613348,Burnham Harbor,23,22927,22722
5,620 S. State St.,22,41.874053,-87.627716,State St & Harrison St,23,7844,7340
6,Dusable Harbor,38,41.885041,-87.612794,Dusable Harbor,39,20528,24448
7,Field Blvd & South Water St,19,41.886349063,-87.617516547,Field Blvd & South Water St,19,10088,10533
9,NA1,19,41.82879202,-87.680604459,Leavitt St & Archer Ave,19,726,774
11,Jeffery Blvd & 71st St,11,41.766638237,-87.576450114,Jeffery Blvd & 71st St,11,275,323
12,MLSW,15,41.766409457,-87.565687572,South Shore Dr & 71st St,15,854,836
13,2790 N.Wilton Ave,25,41.932418,-87.652705,Wilton Ave & Diversey Pkwy,27,12759,12626
14,962 W. 18th St,14,41.858086,-87.651073,Morgan St & 18th St,15,4039,3497
15,1726 S Racine Ave,13,41.858166,-87.656495,Racine Ave & 18th St,15,4344,4503
16,1575 N Paulina Ave,15,41.910337,-87.670072,Paulina Ave & North Ave,15,7168,7347
17,W. Divison St,22,41.903119,-87.673935,Honore St & Division St,23,7519,7221
18,Wacker Dr & Washington St,19,41.883132,-87.637321,Wacker Dr & Washington St,19,16508,18018
19,Loomis St & Taylor St (*),16,41.869417,-87.660996,Loomis St & Taylor St (*),16,10337,9813
20,Sheffield Ave & Kingsbury St,15,41.910522,-87.653106,Sheffield Ave & Kingsbury St,15,10383,9626
21,1103 W.Jackson Blvd,15,41.87772613,-87.65478743,Aberdeen St & Jackson Blvd,15,9867,9832
22,1134 W. Taylor St,15,41.8694821,-87.6554864,May St & Taylor St,15,9982,10184
23,350 W. Elm st,16,41.902924,-87.637715,Orleans St & Elm St (*),16,4382,4300
24,240 E.Grand Ave.,14,41.89186,-87.62062,Fairbanks Ct & Grand Ave,15,21210,20928
25,150 E.Pearson st,23,41.89766,-87.62351,Michigan Ave & Pearson St,23,12026,12698
26,McClurg Ct & Illinois St,30,41.890359,-87.617532,McClurg Ct & Illinois St,31,27056,27360
27,1530 N.Larrabee st,19,41.91021,-87.6435,Larrabee St & North Ave,19,4700,4709
28,590 W. Menomonee,15,41.91468,-87.64332,Larrabee St & Menomonee St,15,5754,5778
29,1016 N. Noble St,15,41.90068,-87.6626,Noble St & Milwaukee Ave,15,7699,8213
30,1611 W. Augusta Blvd,14,41.899643,-87.6677,Ashland Ave & Augusta Blvd,15,5488,5685
31,805 N. Franklin St,22,41.896776,-87.635633,Franklin St & Chicago Ave,23,14743,14808
32,550 S. Racine,19,41.87464,-87.65703,Racine Ave & Congress Pkwy,19,6474,6537
33,360 S State St,27,41.877181,-87.627844,State St & Van Buren St,27,13372,13650
34,2432 N. Cannon Dr.,15,41.926755988,-87.634428785,Cannon Dr & Fullerton Ave,15,8767,8414
35,Navy Pier,47,41.892278,-87.612043,Streeter Dr & Grand Ave,47,106021,97565
36,340 S. Franklin St,39,41.877707956,-87.635321141,Franklin St & Jackson Blvd,39,21136,22217
37,59 W. Adams St,19,41.879356359,-87.629791036,Dearborn St & Adams St,19,15559,14114
38,Clark St & Lake St,26,41.886020828,-87.630876058,Clark St & Lake St,27,15646,16993
39,Wabash Ave & Adams St,23,41.879472352,-87.625688606,Wabash Ave & Adams St,23,11947,11951
40,LaSalle St & Adams St,15,41.879344373,-87.631985221,LaSalle St & Adams St,15,14271,13900
41,Federal St & Polk St,19,41.872077633,-87.629543773,Federal St & Polk St,19,13213,12870
42,13 E Cermak Rd,10,41.852619,-87.626488,Wabash Ave & Cermak Rd,11,2978,2849
43,120 N Michigan,43,41.883892766,-87.624649141,Michigan Ave & Washington St,43,37710,35433
44,State St & Randolph St,26,41.884730201,-87.627733569,State St & Randolph St,27,17132,17971
45,420 w. Michigan,15,41.876243,-87.624426,Michigan Ave & Congress Pkwy,15,9627,10168
46,932 N Wells St,19,41.89993001,-87.63443007,Wells St & Walton St,19,6227,7604
47,5 E Kinzie St,31,41.889187,-87.627754,State St & Kinzie St,31,20452,19536
48,840 N Larrabee St,38,41.897764,-87.642884,Larrabee St & Kingsbury St,39,21532,21931
49,80 S Dearborn St,39,41.881319815,-87.629520919,Dearborn St & Monroe St,39,19664,20906
50,Clark St & Congress Pkwy,26,41.875932666,-87.630584536,Clark St & Congress Pkwy,27,11042,11615
51,120 W. Randolph St.,39,41.884576228,-87.63188991,Clark St & Randolph St,39,16756,16557
52,203 N Michigan Ave,30,41.886024,-87.624117,Michigan Ave & Lake St,31,22409,22999
53,LaSalle (Wells) St & Huron St,27,41.894882,-87.632326,LaSalle (Wells) St & Huron St,27,15180,16680
54,1040 W. Chicago Ave.,18,41.896362458,-87.654061273,Ogden Ave & Chicago Ave,19,8960,8513
55,850 W Roosevelt Rd,22,41.867324,-87.648625,Halsted St & Roosevelt Rd,23,5056,4685
56,368 N. Desplaines St.,25,41.888716036,-87.644447853,Desplaines St & Kinzie St,27,17750,19594
57,559 W Roosevelt Rd,14,41.867117783,-87.641087959,Clinton St & Roosevelt Rd,15,7863,7237
58,Marshfield Ave & Cortland St,23,41.916017,-87.668879,Marshfield Ave & Cortland St,23,17193,17716
59,1210 S Wabash Ave,23,41.867227,-87.625961,Wabash Ave & Roosevelt Rd,23,23689,22345
60,1575 N Dayton St,18,41.910578035,-87.649421929,Dayton St & North Ave,19,11611,11282
61,1416 N Wood St,19,41.907655,-87.672552,Wood St & Milwaukee Ave,19,11735,10896
62,2253 S Dr Martin Luther King Jr Dr,27,41.851375173,-87.618834649,McCormick Place,27,6636,7046
66,Clinton St & Lake St,22,41.885637,-87.641823,Clinton St & Lake St,23,22571,23092
67,2410 N Sheffield Ave,19,41.925601882,-87.653708042,Sheffield Ave & Fullerton Ave,19,15915,15994
68,520 W Tilden St,23,41.875885,-87.640795,Clinton St & Tilden St,23,7437,8135
69,2002 W Pierce Ave,19,41.909396007,-87.677691929,Damen Ave & Pierce Ave,19,20186,18357
71,1003 W. Lake St.,22,41.885483308,-87.652304856,Morgan St & Lake St,23,17892,16591
72,1590 S Wabash Ave,39,41.860384,-87.625813,Wabash Ave & 16th St,39,10537,9315
73,207 S Jefferson St,19,41.880422,-87.642746,Jefferson St & Monroe St,19,8951,9874
74,511 W Erie St,21,41.893882,-87.641711,Kingsbury St & Erie St,23,19241,20023
75,Canal St & Jackson Blvd,29,41.877245,-87.639366,Canal St & Jackson Blvd,31,20371,21639
76,402 E Monroe St,39,41.880958,-87.616743,Lake Shore Dr & Monroe St,39,50108,53400
77,5 N Clinton St,30,41.882242,-87.641066,Clinton St & Madison St,31,50293,44505
80,Aberdeen St & Monroe St,19,41.880419,-87.655519,Aberdeen St & Monroe St,19,10625,10538
81,Daley Center Plaza,39,41.884241,-87.629634,Daley Center Plaza,39,31050,31276
84,500 N Milwaukee Ave.,17,41.891578,-87.648384,Milwaukee Ave & Grand Ave,19,12632,13203
85,140 E Oak St,23,41.90096039,-87.62377664,Michigan Ave & Oak St,23,42190,39396
86,811 N Noble St,19,41.89637337,-87.66098386,Eckhart Park,19,6321,6252
87,2411 N Racine Ave,19,41.92556258,-87.65840426,Racine Ave & Fullerton Ave,19,7694,7704
88,1213 W Randolph St,19,41.884069,-87.656853,Racine Ave & Randolph St,19,7438,6710
89,Financial Pl & Congress Pkwy,30,41.875009135,-87.633105819,Financial Pl & Congress Pkwy,31,11486,12853
90,33 S Michigan Ave,46,41.8810317,-87.62408432,Millennium Park,47,39684,34826
91,109 N Clinton St,31,41.88338,-87.64117,Clinton St & Washington Blvd,31,46803,49831
92,Carpenter St & Huron St,18,41.894556,-87.653449,Carpenter St & Huron St,19,5029,5899
93,1740 N Sheffield Ave,15,41.913688,-87.652855,Sheffield Ave & Willow St,15,8845,8892
94,Clark St & Armitage Ave,31,41.918306,-87.636282,Clark St & Armitage Ave,31,24170,24011
95,Stony Island Ave & 64th St,15,41.778700571,-87.586787618,Stony Island Ave & 64th St,15,264,275
96,Desplaines St & Randolph St,23,41.88461619,-87.644570585,Desplaines St & Randolph St,23,9742,10469
97,Off Street,52,41.865312,-87.617867,Field Museum,55,11513,13743
98,LaSalle St & Washington St,15,41.882664,-87.63253,LaSalle St & Washington St,15,15224,15369
99,Lake Shore Dr & Ohio St,18,41.89257,-87.614492,Lake Shore Dr & Ohio St,19,15876,17199
100,333 N Orleans St,35,41.888243,-87.63639,Orleans St & Merchandise Mart Plaza,35,26652,29375
101,63rd St Beach,23,41.781016372,-87.57611976,63rd St Beach,23,1028,1045
102,Stony Island Ave & 67th St,10,41.773458499,-87.585339739,Stony Island Ave & 67th St,11,227,239
103,Clinton St & Polk St (*),15,41.871466518,-87.640949133,Clinton St & Polk St (*),16,3154,1842
106,State St & Pearson St,27,41.897448,-87.628722,State St & Pearson St,27,11825,12424
107,Desplaines St & Jackson Blvd,27,41.878287,-87.643909,Desplaines St & Jackson Blvd,27,9121,9591
108,Halsted St & Polk St,19,41.87184,-87.64664,Halsted St & Polk St,19,10001,10291
109,900 W Harrison St,17,41.874754,-87.649807,900 W Harrison St,19,5802,6230
110,Dearborn St & Erie St,21,41.893992,-87.629318,Dearborn St & Erie St,23,27004,25932
111,Sedgwick St & Huron St,16,41.894666,-87.638437,Sedgwick St & Huron St,19,9488,9799
112,Green St & Randolph St,15,41.883668,-87.64867,Green St & Randolph St,15,15325,14077
113,Bissell St & Armitage Ave,14,41.91844,-87.65222,Bissell St & Armitage Ave,15,14149,13285
114,Sheffield Ave & Waveland Ave,26,41.949399,-87.654529,Sheffield Ave & Waveland Ave,27,15793,13493
115,Sheffield Ave & Wellington Ave,23,41.936266,-87.652662,Sheffield Ave & Wellington Ave,23,11997,11601
116,Western Ave & Winnebago Ave,14,41.91552,-87.687022,Western Ave & Winnebago Ave,15,7575,7702
117,Wilton Ave & Belmont Ave,23,41.94018,-87.65304,Wilton Ave & Belmont Ave,23,18164,18170
118,Sedgwick St & North Ave,18,41.911386,-87.638677,Sedgwick St & North Ave,19,12157,12709
119,Ashland Ave & Lake St,19,41.88541,-87.66732,Ashland Ave & Lake St,19,4370,4525
120,Wentworth Ave & Archer Ave,23,41.853605,-87.631886,Wentworth Ave & Archer Ave,23,6524,5462
121,Blackstone Ave & Hyde Park Blvd,18,41.802562,-87.590368,Blackstone Ave & Hyde Park Blvd,19,2352,2855
122,Ogden Ave & Congress Pkwy,15,41.87501,-87.67328,Ogden Ave & Congress Pkwy,15,2079,2390
123,California Ave & Milwaukee Ave,15,41.922695,-87.697153,California Ave & Milwaukee Ave,15,9923,10024
124,Damen Ave & Cullerton St,15,41.855048,-87.675726,Damen Ave & Cullerton St,15,1739,1564
125,Rush St & Hubbard St,22,41.890173,-87.626185,Rush St & Hubbard St,23,15934,13807
126,Clark St & North Ave,14,41.911974,-87.631942,Clark St & North Ave,15,12138,11592
127,Lincoln Ave & Fullerton Ave,15,41.925905,-87.64926,Lincoln Ave & Fullerton Ave,15,10434,10312
128,Damen Ave & Chicago Ave,19,41.895769,-87.67722,Damen Ave & Chicago Ave,19,10444,9590
129,Blue Island Ave & 18th St,15,41.857556,-87.661535,Blue Island Ave & 18th St,15,5263,5076
130,Damen Ave & Division St,18,41.903266,-87.678435,Damen Ave & Division St,19,10709,10677
131,Lincoln Ave & Belmont Ave,15,41.939365,-87.668385,Lincoln Ave & Belmont Ave,15,6677,6413
132,Wentworth Ave & 24th St,12,41.849237,-87.631715,Wentworth Ave & 24th St,15,1246,1181
133,Kingsbury St & Kinzie St,26,41.889176833,-87.638505772,Kingsbury St & Kinzie St,31,34725,35217
134,Peoria St & Jackson Blvd,19,41.877749,-87.649633,Peoria St & Jackson Blvd,19,14710,15186
135,Halsted St & 21st St,11,41.85378,-87.64665,Halsted St & 21st St,11,1511,1379
136,Racine Ave & 13th St,14,41.865054,-87.656959,Racine Ave & 13th St,15,1225,1189
137,Morgan Ave & 14th Pl,15,41.862378,-87.651062,Morgan Ave & 14th Pl,15,4917,4942
138,Clybourn Ave & Division St,14,41.904613,-87.640552,Clybourn Ave & Division St,15,6408,6601
140,Dearborn Pkwy & Delaware Pl,18,41.898969,-87.629912,Dearborn Pkwy & Delaware Pl,19,19179,18022
141,Clark St & Lincoln Ave,21,41.915689,-87.6346,Clark St & Lincoln Ave,23,21055,20753
142,660 N McClurg Ct,31,41.894503,-87.617854,McClurg Ct & Erie St,31,16600,16847
143,Sedgwick St & Webster Ave,12,41.922167,-87.638888,Sedgwick St & Webster Ave,15,11924,12312
144,Larrabee St & Webster Ave,18,41.921822,-87.64414,Larrabee St & Webster Ave,19,13570,12525
145,Mies van der Rohe Way & Chestnut St,19,41.898586651,-87.621915226,Mies van der Rohe Way & Chestnut St,19,15908,17608
146,Loomis St & Jackson Blvd,11,41.877945,-87.662007,Loomis St & Jackson Blvd,11,4859,4801
147,Indiana Ave & 26th St,14,41.845687,-87.622481,Indiana Ave & 26th St,15,2702,2752
148,State St & 33rd St,14,41.834734,-87.625813,State St & 33rd St,15,9242,8608
149,Calumet Ave & 33rd St,11,41.8349,-87.61793,Calumet Ave & 33rd St,11,4838,5202
150,Fort Dearborn Dr & 31st St,26,41.838556,-87.608218,Fort Dearborn Dr & 31st St,27,10685,10630
152,Lincoln Ave & Diversey Pkwy,15,41.932225,-87.658617,Lincoln Ave & Diversey Pkwy,15,7591,8041
153,Southport Ave & Wellington Ave,18,41.935733,-87.663576,Southport Ave & Wellington Ave,19,11385,11739
154,Southport Ave & Belmont Ave,15,41.93949,-87.66378,Southport Ave & Belmont Ave,15,5028,5057
156,Clark St & Wellington Ave,15,41.936496822,-87.647538658,Clark St & Wellington Ave,15,12005,11902
157,Lake Shore Dr & Wellington Ave,15,41.936669,-87.636794,Lake Shore Dr & Wellington Ave,15,14426,13945
158,Milwaukee Ave & Wabansia Ave,13,41.912616,-87.681391,Milwaukee Ave & Wabansia Ave,15,9148,8882
159,1451 N Claremont Ave,9,41.907781,-87.685854,Claremont Ave & Hirsch St,11,3036,3217
160,Campbell Ave & North Ave,14,41.910535,-87.689556,Campbell Ave & North Ave,15,3367,3383
161,Rush St & Superior St,23,41.895764746,-87.625908033,Rush St & Superior St,23,12296,13065
162,Damen Ave & Wellington Ave,15,41.93588,-87.67842,Damen Ave & Wellington Ave,15,3602,3457
163,Damen Ave & Clybourn Ave,15,41.931931,-87.677856,Damen Ave & Clybourn Ave,15,3575,3165
164,Franklin St & Lake St,26,41.885837,-87.6355,Franklin St & Lake St,27,13157,14353
165,Clark St & Grace St,19,41.95078,-87.659172,Clark St & Grace St,19,6387,6660
166,Ashland Ave & Wrightwood Ave,15,41.92883,-87.668507,Ashland Ave & Wrightwood Ave,15,4232,4073
167,Damen Ave & Coulter St,11,41.8492,-87.67564,Damen Ave & Coulter St,11,439,417
168,Michigan Ave & 14th St,19,41.864059,-87.623727,Michigan Ave & 14th St,19,9515,9407
169,Canal St & Harrison St,15,41.874255,-87.639573,Canal St & Harrison St,15,3090,3837
170,Clinton St & 18th St,15,41.85795,-87.640826,Clinton St & 18th St,15,3342,3244
171,May St & Cullerton St,11,41.855136,-87.654127,May St & Cullerton St,11,1862,1912
172,Rush St & Cedar St,11,41.902308701,-87.627690528,Rush St & Cedar St,11,12738,12575
173,Mies van der Rohe Way & Chicago Ave,15,41.89691,-87.621743,Mies van der Rohe Way & Chicago Ave,15,15106,14677
174,Canal St & Madison St,35,41.882091,-87.639833,Canal St & Madison St,35,31172,33685
175,Wells St & Polk St,18,41.872596,-87.633502,Wells St & Polk St,19,7572,8773
176,Clark St & Elm St,27,41.902973,-87.63128,Clark St & Elm St,27,23987,23119
177,Theater on the Lake,21,41.926277,-87.630834,Theater on the Lake,23,50780,47905
178,State St & 19th St,15,41.856594,-87.627542,State St & 19th St,15,3069,2807
179,Off Steet,15,41.82256,-87.61615,MLK Jr Dr & Oakwood Blvd,15,709,640
180,Ritchie Ct & Banks St,13,41.906866,-87.626217,Ritchie Ct & Banks St,15,7368,8066
181,On Street,31,41.890762,-87.631697,LaSalle St & Illinois St,31,27390,26053
182,Wells St & Elm St,23,41.903222,-87.634324,Wells St & Elm St,23,12385,12637
183,Damen Ave & Augusta Blvd,23,41.899113,-87.677212,Damen Ave & Augusta Blvd,23,7533,7726
184,State St & 35th St,18,41.83104,-87.62688,State St & 35th St,19,4409,3657
185,Stave St & Armitage Ave,11,41.917741,-87.691392,Stave St & Armitage Ave,11,2159,2232
186,Ogden Ave & Race Ave,15,41.891795,-87.658751,Ogden Ave & Race Ave,15,6499,6218
188,Greenview Ave & Fullerton Ave,14,41.92533,-87.6658,Greenview Ave & Fullerton Ave,15,6204,5461
190,Southport Ave & Wrightwood Ave,15,41.928773,-87.663913,Southport Ave & Wrightwood Ave,15,6187,6210
191,Canal St & Monroe St (*),28,41.880884,-87.639525,Canal St & Monroe St (*),28,12743,16407
192,Canal St & Adams St,46,41.879255,-87.639904,Canal St & Adams St,47,52607,50909
193,State St & 29th St,15,41.841707,-87.626938,State St & 29th St,15,559,555
194,Wabash Ave & Wacker Pl,19,41.886875,-87.62603,Wabash Ave & Wacker Pl,19,14162,14177
195,Columbus Dr & Randolph St,46,41.884728,-87.619521,Columbus Dr & Randolph St,47,22645,37522
196,Cityfront Plaza Dr & Pioneer Ct,23,41.890573,-87.622072,Cityfront Plaza Dr & Pioneer Ct,23,11297,12957
197,Michigan Ave & Madison St,18,41.882134,-87.625125,Michigan Ave & Madison St,19,11082,11321
198,Green St & Madison St,18,41.881892,-87.648789,Green St & Madison St,19,16621,15354
199,Wabash Ave & Grand Ave,30,41.891466,-87.626761,Wabash Ave & Grand Ave,31,19093,18396
200,MLK Jr Dr & 47th St,11,41.809851,-87.616279,MLK Jr Dr & 47th St,11,468,555
201,Indiana Ave & 40th St,15,41.82168,-87.6216,Indiana Ave & 40th St,15,357,374
202,Halsted St & 18th St,15,41.857499,-87.646277,Halsted St & 18th St,15,3125,2907
203,Western Ave & 21st St,15,41.854109,-87.685838,Western Ave & 21st St,15,1484,1436
204,Prairie Ave & Garfield Blvd,10,41.794853,-87.618691,Prairie Ave & Garfield Blvd,10,1825,1923
205,Paulina St & 18th St,13,41.857901,-87.668745,Paulina St & 18th St,15,3147,3188
206,Halsted St & Archer Ave,15,41.847203,-87.646795,Halsted St & Archer Ave,15,1928,1879
207,Emerald Ave & 28th St,15,41.84358,-87.645368,Emerald Ave & 28th St,15,1492,1432
208,Ashland Ave & 21st St,15,41.85381,-87.665897,Ashland Ave & 21st St,15,1743,1621
209,Normal Ave & Archer Ave,11,41.849527,-87.640591,Normal Ave & Archer Ave,11,1020,1204
210,Ashland Ave & Division St,17,41.90345,-87.667747,Ashland Ave & Division St,19,15372,15350
211,St. Clair St & Erie St,19,41.894448,-87.622663,St. Clair St & Erie St,19,26901,21665
